"BnaA01g00520D"	"Cytochrome P450"
"BnaA01g00520D"	"Cytochrome P450, E-class, group I"
"BnaA01g00520D"	"Cytochrome P450, conserved site"
"BnaA01g00910D"	"Cupredoxin"
"BnaA01g00910D"	"Multicopper oxidase, type 2"
"BnaA01g00910D"	"Multicopper oxidase, type 1"
"BnaA01g00910D"	"Multicopper oxidase, type 3"
"BnaA01g01090D"	"Homeobox, conserved site"
"BnaA01g01090D"	"Homeodomain"
"BnaA01g01090D"	"Helix-turn-helix motif"
"BnaA01g01090D"	"Homeodomain-like"
"BnaA01g01110D"	"TB2/DP1/HVA22-related protein"
"BnaA01g01240D"	"SAM dependent carboxyl methyltransferase"
"BnaA01g01320D"	"Cytochrome P450, conserved site"
"BnaA01g01320D"	"Cytochrome P450"
"BnaA01g01320D"	"Cytochrome P450, E-class, group IV"
"BnaA01g01500D"	NA
"BnaA01g01550D"	"DnaJ domain"
"BnaA01g01840D"	"Protein of unknown function DUF241, plant"
"BnaA01g01910D"	"Homeodomain"
"BnaA01g01910D"	"Homeodomain-like"
"BnaA01g01960D"	"Zinc finger, RING/FYVE/PHD-type"
"BnaA01g01960D"	"Zinc finger, RING-type"
"BnaA01g02460D"	"Alanine racemase/group IV decarboxylase, C-terminal"
"BnaA01g02460D"	"Orn/DAP/Arg decarboxylase 2, C-terminal"
"BnaA01g02460D"	"Orn/DAP/Arg decarboxylase 2, pyridoxal-phosphate binding site"
"BnaA01g02460D"	"Ornithine/DAP/Arg decarboxylase"
"BnaA01g02460D"	"Arginine decarboxylase"
"BnaA01g02460D"	"Orn/DAP/Arg decarboxylase 2, conserved site"
"BnaA01g02460D"	"Orn/DAP/Arg decarboxylase 2, N-terminal"
"BnaA01g02990D"	"G-patch domain"
"BnaA01g03420D"	"Plant organelle RNA recognition domain"
"BnaA01g03810D"	"Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain"
"BnaA01g03810D"	"Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site"
"BnaA01g04270D"	"Protein kinase, ATP binding site"
"BnaA01g04270D"	"Serine/threonine- / dual specificity protein kinase, catalytic  domain"
"BnaA01g04270D"	"Tyrosine-protein kinase, catalytic domain"
"BnaA01g04270D"	"Serine/threonine-protein kinase, active site"
"BnaA01g04270D"	"Protein kinase, catalytic domain"
"BnaA01g04270D"	"Protein kinase-like domain"
"BnaA01g04270D"	"Concanavalin A-like lectin/glucanase, subgroup"
"BnaA01g04330D"	NA
"BnaA01g04670D"	"Tyrosine-protein kinase, catalytic domain"
"BnaA01g04670D"	"Protein kinase, catalytic domain"
"BnaA01g04670D"	"Concanavalin A-like lectin/glucanase, subgroup"
"BnaA01g04670D"	"Bulb-type lectin domain"
"BnaA01g04670D"	"Serine/threonine-protein kinase, active site"
"BnaA01g04670D"	"Protein kinase-like domain"
"BnaA01g04670D"	"Protein kinase, ATP binding site"
